"","Phylum_Reads","Family_Reads","Genus_Reads","ASV_Reads"
"D6_Skin_V2-tr515F_806R_02",398776,398776,398776,398776
"D6_Skin_V2-tr515F_806R_03",563562,563562,563562,563562
"D6_Skin_V2-tr515F_806R_04",437091,437091,437091,437091
"D6_Skin_V3-tr515F_806R_01",272593,272593,272593,272593
"D6_Skin_V3-tr515F_806R_02",340956,340956,340956,340956
"D6_Skin_V3-tr515F_806R_03",356811,356811,356811,356811
"D6_Skin_V3-tr515F_806R_04",2503,2503,2503,2503
"D6_Skin_V4-tr515F_806R_01",377831,377831,377831,377831
"D6_Skin_V4-tr515F_806R_02",422612,422612,422612,422612
"D6_Skin_V4-tr515F_806R_03",404253,404253,404253,404253
"D6_Skin_V4-tr515F_806R_04",430759,430759,430759,430759
"D6_Skin_V5-tr515F_806R_01",285589,285589,285589,285589
"D6_Skin_V5-tr515F_806R_02",405672,405672,405672,405672
"D6_Skin_V5-tr515F_806R_03",335773,335773,335773,335773
"D6_Skin_V5-tr515F_806R_04",351132,351132,351132,351132
"D6_Skin_V6-tr515F_806R_01",343783,343783,343783,343783
"D6_Skin_V6-tr515F_806R_02",468936,468936,468936,468936
"D6_Skin_V6-tr515F_806R_03",459100,459100,459100,459100
"D6_Skin_V6-tr515F_806R_04",400421,400421,400421,400421
"D6_Skin_V7-tr515F_806R_01",373009,373009,373009,373009
"D6_Skin_V7-tr515F_806R_02",443608,443608,443608,443608
"D6_Skin_V7-tr515F_806R_03",334317,334317,334317,334317
"D6_Skin_V7-tr515F_806R_04",336468,336468,336468,336468
"D6_Skin_V8-tr515F_806R_01",341743,341743,341743,341743
"D6_Skin_V8-tr515F_806R_02",332217,332217,332217,332217
"D6_Skin_V8-tr515F_806R_03",337904,337904,337904,337904
"D6_Skin_V8-tr515F_806R_04",362746,362746,362746,362746
"D7_Soil_515F_806R_01",1987399,1987399,1987399,1987399
"D7_Soil_515F_806R_02",2285727,2285727,2285727,2285727
"D7_Soil_515F_806R_03",2036036,2036036,2036036,2036036
"D7_Soil_515F_806R_04",1813314,1813314,1813314,1813314
"D7_Soil_tr515F_806R_01",1341228,1341228,1341228,1341228
"D7_Soil_tr515F_806R_02",1578391,1578391,1578391,1578391
"D7_Soil_tr515F_806R_03",1442179,1442179,1442179,1442179
"D7_Soil_tr515F_806R_04",1211260,1211260,1211260,1211260
"D7_Soil_V1-tr515F_806R_01",254091,254091,254091,254091
