SampleName 	 Merged_Count 	 Raw_Count 	 Merging_Percentage 	 
E2-Neg-CasF-806R-02_S353 	 2819 	 2888 	 97.6108
E2-Neg-CasF-CasR-02_S355 	 3 	 3 	 100
E2-Soil-515F-806R-01_S356 	 5 	 5 	 100
E2-Soil-515F-806R-03_S358 	 2346905 	 2363818 	 99.2845
E2-Soil-515F-806R-04_S359 	 2166909 	 2191637 	 98.8717
E2-Soil-515F-806R-05_S360 	 1804914 	 1826099 	 98.8399
E2-Soil-515F-806R-06_S361 	 2619360 	 2646738 	 98.9656
E2-Soil-515F-806R-07_S362 	 1974171 	 1999491 	 98.7337
E2-Soil-515F-806R-08_S363 	 4576574 	 4626831 	 98.9138
E2-Soil-515F-CasR-01_S364 	 1783100 	 1833991 	 97.2251
E2-Soil-515F-CasR-02_S365 	 1958478 	 2031755 	 96.3934
E2-Soil-515F-CasR-03_S366 	 2348949 	 2439707 	 96.28
E2-Soil-515F-CasR-04_S367 	 2223874 	 2311746 	 96.1989
E2-Soil-515F-CasR-05_S368 	 2470470 	 2567851 	 96.2077
E2-Soil-515F-CasR-06_S369 	 2023336 	 2088276 	 96.8903
E2-Soil-515F-CasR-07_S370 	 2524289 	 2610544 	 96.6959
E2-Soil-515F-CasR-08_S371 	 1998511 	 2078527 	 96.1504
E2-Soil-CasF-806R-01_S372 	 383866 	 385788 	 99.5018
E2-Soil-CasF-806R-02_S373 	 544109 	 546709 	 99.5244
E2-Soil-CasF-806R-03_S374 	 401266 	 403451 	 99.4584
E2-Soil-CasF-806R-04_S375 	 513926 	 516914 	 99.422
E2-Soil-CasF-806R-05_S376 	 323296 	 325464 	 99.3339
E2-Soil-CasF-806R-06_S377 	 482919 	 487498 	 99.0607
E2-Soil-CasF-806R-07_S378 	 495262 	 500164 	 99.0199
E2-Soil-CasF-806R-08_S379 	 722017 	 730563 	 98.8302
E2-Soil-CasF-CasR-01_S380 	 1157751 	 1205371 	 96.0493
E2-Soil-CasF-CasR-02_S381 	 835431 	 872841 	 95.714
E2-Soil-CasF-CasR-03_S382 	 599339 	 628294 	 95.3915
E2-Soil-CasF-CasR-04_S383 	 1100922 	 1146363 	 96.0361
E2-Soil-CasF-CasR-05_S384 	 1206236 	 1265376 	 95.3263
E2-Soil-CasF-CasR-06_S385 	 834496 	 873237 	 95.5635
E2-Soil-CasF-CasR-07_S386 	 380243 	 401071 	 94.8069
E2-Soil-CasF-CasR-08_S387 	 639808 	 663045 	 96.4954
