"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae",11,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae",103,118,145,110,117,100,86,78,109,95,117,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae",0,2,0,4,0,0,0,0,0,1,0,0,72,55,65,79,52,88,76,86,59,90,62,91,68,94
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae",4,3,3,6,12,8,4,3,0,3,0,0,637,638,563,567,614,713,554,534,459,518,636,499,473,485
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45",3,1,3,1,10,6,0,4,5,3,8,0,8094,7987,7889,8044,8065,7601,12391,11160,11436,11054,10455,10727,10144,9896
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae",0,1,0,1,0,0,0,0,9,0,0,0,68,81,88,77,74,97,87,66,56,95,102,65,98,73
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured",0,6,4,2,0,0,0,5,1,1,0,0,24,11,22,22,23,31,20,22,8,29,29,21,0,20
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae",21,17,21,25,6,25,21,12,19,17,25,14,6063,6287,6106,6160,6174,6001,5401,6008,6098,6050,6100,6158,5879,5616
"d__Bacteria;p__Chloroflexi;c__TK10;o__TK10;f__TK10",3,0,0,2,0,1,8,0,0,6,0,0,8730,8542,8701,8248,8384,8498,10370,10367,10616,10125,10063,10363,10305,10358
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae",1094,1040,1083,1102,1011,928,994,955,918,907,1004,934,20,28,22,31,18,24,24,10,22,12,9,16,10,17
