"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae",0,2,0,3,0,2,1,5,0,0,0,0,519,482,594,634,602,600,502,493,465,529,467,456,532,557
"d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__Sericytochromatia;f__Sericytochromatia",2,7,6,7,4,0,0,15,6,16,9,5,58,63,54,56,75,57,30,61,32,50,67,100,43,100
"d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108",3,5,0,2,0,0,0,12,0,4,5,0,639,614,522,689,721,609,620,498,614,533,496,663,548,581
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCD24;f__CCD24",0,0,0,0,0,0,2,0,2,0,0,5,188,178,207,199,187,141,156,151,160,110,133,118,155,156
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae",5,9,5,1,5,8,1,6,7,0,1,3,49,51,106,62,64,88,42,41,39,49,44,42,65,60
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae",2,0,1,3,0,4,2,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae",14,9,5,6,2,0,0,1,6,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae",28,51,28,13,25,15,21,34,28,26,23,0,462,453,431,421,271,364,324,349,297,353,323,310,359,385
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__",2,0,1,0,0,0,0,0,0,4,3,0,561,591,654,627,534,528,565,596,556,662,646,569,543,552
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae",4907,4890,4956,4756,4186,4204,4200,4290,4300,4083,4061,4095,27,35,46,41,65,25,37,62,51,42,30,28,33,18
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae",111,124,89,111,63,60,127,90,94,69,83,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae",6,7,12,9,3,15,10,16,6,0,6,8,129,125,114,104,107,148,99,81,91,116,83,73,136,153
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae",6,4,2,5,0,0,3,0,1,2,4,0,1908,1949,2054,2053,2041,1932,1837,1761,1877,1851,1877,1859,1897,2036
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae",0,2,0,3,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae",0,5,0,1,0,0,0,0,0,5,2,2,1109,1143,1106,1125,1086,1252,892,953,945,839,865,1026,1047,1068
"d__Bacteria;p__Firmicutes;__;__;__",1,0,1,0,0,0,0,5,0,0,0,0,15,13,11,36,17,19,0,0,1,2,0,4,17,3
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae",3018,2918,2998,3206,6344,6410,6575,6557,6360,6379,6681,6577,1657,1580,1741,1733,1842,1799,3289,3398,3263,3402,3368,3415,3340,3706
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae",5,3,13,2,4,4,2,0,1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae",77,75,74,81,66,94,37,75,65,64,56,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales",287,258,313,316,280,226,248,227,252,298,264,231,14,2,7,6,9,11,8,14,6,6,8,3,3,2
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae",35,32,29,37,86,70,75,46,88,63,67,82,137,101,73,106,73,119,125,105,124,129,131,146,103,85
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae",9,1,7,4,8,2,4,8,2,6,4,10,204,212,197,267,181,209,208,170,160,225,168,141,175,181
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae",40,34,35,42,29,28,14,19,57,28,37,26,897,1024,973,1052,973,924,824,888,913,815,872,874,811,698
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae",152,199,170,184,0,3,7,7,8,0,8,9,253,271,279,269,293,275,3,9,7,10,6,8,9,17
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae",8,26,22,26,11,24,10,43,41,28,41,14,30,43,47,56,32,34,19,39,45,19,39,24,36,59
"d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae",0,0,4,0,0,0,0,0,0,0,0,4,108,115,140,158,110,159,167,107,138,137,123,92,53,185
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae",132,103,113,127,318,306,301,275,276,298,292,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20",0,3,2,0,0,4,0,0,0,0,0,0,802,710,754,728,834,835,674,654,645,595,661,602,754,699
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae",77,60,66,89,66,74,52,35,65,72,90,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae",2,0,0,4,0,0,1,3,1,1,0,3,179,198,207,184,238,201,190,175,99,180,183,151,147,261
"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsaceae",6,4,4,5,8,0,12,1,0,5,6,3,8,10,6,14,1,15,18,5,7,2,10,12,11,1
"d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae",0,8,6,2,0,0,11,7,1,20,7,8,12912,11758,11982,12216,11700,11798,12385,11766,12585,12408,12216,12041,11532,13082
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae",2,1,0,0,1,0,2,3,0,1,0,0,17,3,4,13,10,19,6,7,7,0,5,18,11,12
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae",51,46,42,58,30,39,57,55,35,38,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae",4,1,0,0,0,0,0,3,1,0,0,0,52,44,52,28,43,31,47,28,9,19,23,34,26,36
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae",51,66,55,81,59,51,71,50,54,53,76,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae",1,1,2,0,0,0,0,3,0,0,0,2,425,366,417,357,415,408,446,495,425,407,406,431,519,362
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__",0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae",12,16,16,15,52,38,30,33,20,27,48,52,62,59,100,67,104,99,41,50,69,56,77,94,65,92
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Gracilibacteria;f__Gracilibacteria",4,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae",5,4,7,15,8,14,11,11,6,11,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae",92,77,93,70,85,54,96,127,70,91,96,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae",2,2,4,0,0,0,0,0,0,3,1,0,154,134,169,139,161,205,114,159,156,106,173,155,124,117
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae",0,0,5,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae",120,107,102,97,86,102,108,104,91,103,72,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Nakamurellaceae",2,3,3,0,0,0,2,1,1,3,7,0,52,16,29,24,30,34,13,32,38,51,28,13,16,20
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae",16376,16343,16018,16033,13196,13011,12386,12247,12627,12619,12336,12788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae",10,15,17,20,3,13,9,12,8,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Demequinaceae",0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13",0,0,4,0,1,0,0,0,0,0,3,0,3,16,1,8,8,11,1,3,7,3,5,7,2,11
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae",47,74,63,72,40,39,56,35,35,38,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae",1,0,1,4,0,0,0,0,0,1,0,0,52,37,50,22,50,24,26,42,26,46,32,34,39,52
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae",0,4,0,0,0,6,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae",9,12,3,21,3,5,5,15,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales_(SR1);f__Absconditabacteriales_(SR1)",2,5,0,0,3,3,0,8,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae",0,2,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae",1,0,0,5,9,0,7,0,0,0,9,0,27,21,6,16,18,19,13,15,27,28,15,16,11,24
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae",1,0,6,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae",241,217,177,193,630,587,466,479,486,543,553,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae",0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae",4,6,4,0,0,0,1,0,2,2,0,0,34,30,67,25,28,36,3,28,24,13,36,4,27,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae",0,4,2,0,0,0,0,0,3,2,0,0,24,11,15,31,25,21,17,14,7,11,15,10,22,17
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae",1,0,0,6,0,0,0,0,0,0,0,2,90,91,103,57,56,84,47,81,62,62,59,58,35,55
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae",3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae",127,137,146,169,151,122,120,168,132,104,132,128,7,14,6,10,6,4,15,8,3,5,4,8,0,9
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae",0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae",2,0,0,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__",5,0,7,3,6,0,0,0,2,0,0,23,29,23,10,12,17,11,8,11,13,10,13,19,48,17
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae",4,3,6,0,0,6,4,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae",2,6,1,5,3,0,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae",3,0,4,0,0,0,2,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Tsukamurellaceae",2,4,0,1,0,4,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae",3,4,1,5,0,0,0,2,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae",56,51,62,42,50,45,38,48,64,23,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Thioalkalispiraceae",0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae",2,3,0,0,0,0,0,5,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae",0,3,1,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae",47,94,63,60,73,46,97,59,61,56,56,66,7,6,14,14,13,3,7,1,1,0,7,16,9,10
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__",0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae",0,0,3,5,0,0,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae",69,112,97,82,67,64,78,65,81,116,88,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,1613,1573,1434,1574,1242,1581,1360,1261,1370,1521,1433,1402,1482,1416
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae",0,0,0,0,0,0,0,0,0,0,0,0,217,303,272,253,196,222,254,283,279,238,287,250,244,245
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae",0,0,0,0,0,0,0,0,0,0,0,0,4240,3630,3933,3485,3565,3748,4863,4530,4534,4378,4303,4275,4408,4593
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedibacterales;f__Caedibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,4,1,16,0,11,0,0,0,4,0,4,4,0,0
"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,13251,14873,14183,14157,13696,14225,13414,13507,13827,13847,13771,13936,14068,13409
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b",0,0,0,0,0,0,0,0,0,0,0,0,660,652,687,670,684,796,773,943,924,791,854,904,762,972
"d__Bacteria;p__Planctomycetota;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,13,18,4,7,29,6,0,10,7,12,8,7,0,4
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__",0,0,0,0,0,0,0,0,0,0,0,0,73,92,71,74,84,63,67,57,43,34,56,53,73,89
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;__",0,0,0,0,0,0,0,0,0,0,0,0,71,96,90,71,52,70,30,52,52,33,69,75,69,66
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,13,7,17,10,5,9,20,13,12,10,1,6,5,11
"d__Bacteria;p__Patescibacteria;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,70,47,56,63,47,53,57,33,45,52,15,41,22,32
"d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__Sumerlaeales;f__Sumerlaeaceae",0,0,0,0,0,0,0,0,0,0,0,0,133,98,82,89,95,122,142,187,110,174,155,85,204,226
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales;f__type_III",0,0,0,0,0,0,0,0,0,0,0,0,100,77,87,136,119,87,0,1,4,10,9,2,0,8
"d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Azambacteria;f__Candidatus_Azambacteria",0,0,0,0,0,0,0,0,0,0,0,0,16,9,4,6,5,7,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20",0,0,0,0,0,0,0,0,0,0,0,0,320,377,369,340,324,302,316,337,274,320,326,279,283,344
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Blfdi19;f__Blfdi19",0,0,0,0,0,0,0,0,0,0,0,0,71,48,68,47,78,50,34,16,58,46,33,57,49,43
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis",0,0,0,0,0,0,0,0,0,0,0,0,230,183,192,210,221,257,244,224,175,195,240,189,212,189
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722",0,0,0,0,0,0,0,0,0,0,0,0,328,344,286,359,294,349,452,341,409,419,363,343,457,414
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Phaselicystidaceae",0,0,0,0,0,0,0,0,0,0,0,0,234,221,234,244,213,243,208,187,255,172,132,183,195,165
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,68,67,88,93,82,100,104,97,112,120,112,104,124,166
"d__Bacteria;p__Myxococcota;c__Polyangia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,26,42,31,38,32,51,36,18,46,21,38,35,31,61
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,1155,1208,1198,1100,1216,1094,1128,1164,1194,1153,1105,1260,1088,1115
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Procabacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,0,5,0,2,0,0,14,5,0,0
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,7,1,3,3,6,14,3,5,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,5338,5507,5270,5604,5970,5936,5226,5375,5267,5062,5471,5389,5316,5551
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,989,942,1038,1039,1022,970,735,767,802,859,895,867,836,813
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae",0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,10,6,1,0,0,2,4,0,6,0,4
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;__",0,0,0,0,0,0,0,0,0,0,0,0,32,68,37,49,51,59,16,23,27,28,38,24,28,76
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,12,8,10,8,4,6,5,11,9,2,2,10,0,5
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae",0,0,0,0,0,0,0,0,0,0,0,0,39,40,37,29,31,33,19,50,34,20,30,52,22,43
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24",0,0,0,0,0,0,0,0,0,0,0,0,459,396,368,310,312,398,568,532,622,531,529,465,485,513
"d__Bacteria;p__Chloroflexi;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,1079,1217,1116,1002,1010,999,1373,1441,1467,1339,1358,1422,1366,1498
"d__Bacteria;p__Firmicutes;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,6,21,6,3,0,15,8,6,2,0,6,26,8,14
"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales",0,0,0,0,0,0,0,0,0,0,0,0,13,10,7,7,6,11,17,5,9,7,11,0,10,7
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12",0,0,0,0,0,0,0,0,0,0,0,0,43,48,45,46,35,25,20,39,35,22,31,38,33,29
"d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadales",0,0,0,0,0,0,0,0,0,0,0,0,91,86,76,72,81,106,127,152,95,109,98,68,91,131
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781",0,0,0,0,0,0,0,0,0,0,0,0,774,654,851,682,778,836,769,715,744,760,762,642,687,821
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,5,13,9,4,0,3,0,0,2,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__",0,0,0,0,0,0,0,0,0,0,0,0,93,123,104,119,152,122,91,76,65,79,115,146,104,97
"d__Bacteria;p__Myxococcota;c__Polyangia;o__mle1-27;f__mle1-27",0,0,0,0,0,0,0,0,0,0,0,0,188,203,175,157,162,193,156,125,161,195,124,80,157,130
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae",0,0,0,0,0,0,0,0,0,0,0,0,397,384,429,456,380,383,323,322,418,301,404,322,375,391
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,38,21,76,41,38,86,23,15,51,33,43,24,28,24
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,2,6,3,8,7,2,8,9,2,0,15
"d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7",0,0,0,0,0,0,0,0,0,0,0,0,737,597,602,641,749,677,572,664,664,566,512,641,683,664
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;__;__",0,0,0,0,0,0,0,0,0,0,0,0,195,205,173,153,142,152,239,287,337,244,278,332,270,247
"d__Bacteria;p__Actinobacteriota;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,125,143,132,94,115,118,105,86,130,133,115,119,130,103
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae",0,0,0,0,0,0,0,0,0,0,0,0,433,382,437,397,439,452,606,675,609,562,522,402,458,541
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17",0,0,0,0,0,0,0,0,0,0,0,0,182,209,193,167,134,220,103,178,137,107,165,112,173,109
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031",0,0,0,0,0,0,0,0,0,0,0,0,287,275,327,290,322,308,383,361,332,383,329,315,373,351
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,93,84,72,72,93,90,100,87,50,59,93,109,40,64
