"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__",1,2,0,0,0,0,1,0,3,0,0,0,68,84,90,49,81,98,87,63,39,99,66,46,5,54
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium",8,12,20,18,20,84,24,32,12,53,34,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus",69,87,82,73,35,53,49,36,27,50,52,50,4114,4004,3800,4165,3874,4729,3410,3564,3558,3412,3353,3421,3914,3911
"d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira",1,0,6,0,0,2,0,0,0,0,3,0,391,333,389,423,376,450,341,342,295,257,291,329,360,392
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014",3,3,1,0,12,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides",338,270,329,334,773,881,583,833,731,782,799,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia",0,1,0,3,0,2,1,3,0,0,6,0,410,429,452,503,456,510,387,413,364,406,338,417,453,422
"d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__Sericytochromatia;f__Sericytochromatia;g__Sericytochromatia",3,6,5,7,4,0,0,5,3,7,6,4,41,51,47,71,65,81,27,60,43,49,70,96,43,103
"d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108",1,8,0,5,0,0,0,2,0,2,7,0,629,561,553,666,684,590,603,530,616,511,552,624,531,562
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCD24;f__CCD24;g__CCD24",1,0,2,0,0,0,1,0,0,0,0,5,233,160,202,205,164,124,150,143,161,115,124,111,161,154
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas",21,12,13,20,10,26,13,6,13,8,6,11,555,515,439,465,489,436,398,489,496,486,493,516,356,429
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium",19,28,23,13,7,14,11,27,19,14,8,0,495,439,451,440,310,413,366,351,294,367,332,316,366,391
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__",2,0,1,2,0,0,0,0,0,3,4,0,564,594,657,633,580,577,573,625,564,579,701,621,530,525
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005",1,0,2,4,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage",5,0,2,0,0,3,4,0,1,1,1,0,207,184,161,109,151,182,218,261,221,208,174,201,185,270
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella",49,50,50,56,30,19,53,32,27,46,44,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila",47,34,32,34,178,122,69,72,121,77,114,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter",3,0,1,1,3,0,4,0,1,1,3,0,341,297,336,280,322,308,464,398,369,385,424,448,427,439
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister",0,0,7,0,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group",1,3,6,7,5,0,13,4,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces",3,5,4,6,0,0,4,0,3,3,1,0,2029,1935,2110,2125,2013,1940,1726,1722,1911,1777,1890,1844,1866,2071
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum",5,7,4,2,0,2,2,1,10,5,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",481,467,514,463,432,414,330,333,405,418,396,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga",6,3,0,1,0,2,1,6,0,6,0,0,18905,19370,18674,19808,19660,20468,17885,17562,17274,17922,18065,17723,18465,18684
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__uncultured",0,1,2,0,7,4,0,0,0,0,1,0,628,667,676,776,687,930,915,925,973,1085,1103,1054,933,1134
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia",5,7,1,16,8,5,12,4,5,8,3,6,1824,1716,1576,1667,1765,1708,1585,1601,1423,1627,1475,1528,1693,1703
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured",0,1,0,2,0,0,0,0,0,2,0,2,1064,1101,1143,1116,997,1203,902,971,946,845,907,979,1024,1066
"d__Bacteria;p__Firmicutes;__;__;__;__",1,0,2,0,0,0,0,7,0,0,0,0,18,19,8,33,27,18,0,0,3,4,0,3,18,2
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;__",22,22,21,22,37,49,60,52,38,33,53,30,11,2,0,4,4,10,6,6,0,20,1,5,4,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium",1,4,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Dyadobacter",7,3,7,5,1,2,1,7,5,8,4,0,88,78,100,134,118,129,113,101,111,91,116,72,81,111
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium",10,9,9,6,17,4,9,4,21,19,10,0,276,292,259,306,317,296,408,355,452,440,415,451,413,383
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas",64,80,88,95,64,60,68,70,60,62,96,48,62,76,65,78,100,54,73,49,57,73,74,59,67,92
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__",147,137,103,142,78,95,77,63,111,104,124,107,801,789,851,800,799,822,721,686,748,693,658,729,645,781
"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium",65,63,83,75,64,96,42,67,87,61,60,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",16,4,0,10,10,3,6,4,2,10,7,7,232,305,330,355,276,261,265,305,334,300,304,323,337,320
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus",189,186,185,202,173,153,164,141,149,203,170,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes",8,5,7,11,1,5,11,3,6,6,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7a",33,24,15,16,71,49,71,34,54,59,57,84,142,91,83,103,69,108,111,109,113,102,111,136,98,74
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group",1,0,1,7,0,3,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Chryseomicrobium",0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia",1,0,0,3,0,0,1,2,0,1,0,2,104,102,95,135,99,119,106,104,87,134,102,58,85,91
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;__",37,53,38,33,36,24,19,33,42,31,50,27,409,481,443,495,491,396,367,433,454,400,419,443,413,361
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma",162,198,167,167,0,3,6,7,6,4,4,10,250,289,320,265,300,283,4,9,9,10,2,8,8,22
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus",2,1,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__",3,2,21,5,0,12,7,14,5,10,12,0,38,31,52,54,31,35,23,43,42,27,36,35,34,62
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella",0,4,1,2,0,11,8,2,13,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__uncultured",5,0,2,0,0,5,0,0,6,3,0,0,510,510,578,497,488,411,491,449,425,434,477,487,370,393
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;__",0,0,0,0,5,0,1,0,1,0,0,0,128,125,158,158,128,87,97,105,148,87,172,143,158,93
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Conchiformibius",17,18,13,12,12,6,14,12,8,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1",0,4,2,0,4,2,4,0,4,0,2,0,48,45,59,42,29,53,34,40,45,34,44,44,51,29
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia",120,106,119,131,322,299,318,274,253,286,271,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella",196,166,164,189,373,378,422,440,325,353,367,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea",0,10,5,5,0,0,5,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20;g__TRA3-20",0,2,2,0,0,3,0,0,0,0,0,0,809,682,691,720,800,779,636,637,663,612,593,622,757,665
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium",0,0,0,3,0,0,0,4,1,1,0,0,649,577,682,737,677,587,543,564,621,638,586,542,612,535
"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsaceae;g__Aliterella",6,0,0,3,3,0,3,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22",0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaeraceae",0,1,2,4,0,0,6,8,4,15,6,10,6408,5668,5934,6079,5685,5724,5487,5089,5431,5561,5613,5357,5230,6028
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella",55,63,57,58,37,40,71,52,50,38,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter",0,1,0,0,0,2,0,0,0,6,0,0,306,278,245,269,256,259,207,211,251,226,268,219,260,190
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium",7,9,7,13,10,0,6,15,5,3,4,0,233,193,177,219,151,184,202,173,187,134,191,188,175,156
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus",1,5,2,7,0,2,2,2,1,3,3,0,3635,3745,3967,3862,3327,2929,3490,3865,3734,3781,3765,3795,3389,3009
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium",2,2,2,3,4,0,5,1,0,0,2,0,569,593,414,596,566,559,551,568,592,471,646,403,516,476
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia",54,47,67,63,32,29,64,57,33,38,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia",31,31,42,45,25,44,55,39,30,38,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",41,47,42,46,35,45,55,45,37,46,36,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium",0,0,3,0,0,2,0,3,0,1,0,0,142,144,129,124,113,106,112,113,55,83,132,111,93,47
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia",35,59,47,24,37,36,58,39,40,31,35,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter",1,0,2,0,0,5,2,0,0,1,0,0,646,516,585,597,585,593,479,463,506,486,405,432,434,580
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus",22,24,24,16,20,23,15,15,21,16,21,17,51,61,60,79,53,38,60,71,63,47,64,43,43,44
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans",3,2,3,0,0,0,0,0,0,0,0,2,30,27,38,26,47,63,22,30,18,36,31,28,18,29
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Duganella",0,2,0,1,2,0,0,1,0,0,6,0,98,67,90,92,101,68,117,65,52,86,74,94,86,66
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter",1,4,0,3,0,0,2,6,3,4,3,0,158,186,162,141,243,216,141,114,142,187,158,171,130,185
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__S5-A14a",2,3,1,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__",0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Nubsella",3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas",7,7,12,8,8,7,10,4,6,4,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__",76,75,80,78,71,43,76,90,45,84,82,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Cellvibrio",3,0,0,1,0,0,0,4,0,0,0,0,234,180,202,178,185,246,184,217,209,140,123,126,165,202
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas",3,8,6,1,8,2,4,4,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus",0,4,0,2,0,0,1,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella",10,7,5,2,0,0,7,1,5,17,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Ezakiella",0,2,1,3,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group",6,2,4,2,4,3,0,2,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella",2,0,3,0,0,2,1,0,4,1,1,0,129,93,119,145,173,113,152,221,163,179,144,236,189,166
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas",6,8,5,2,0,3,3,2,3,0,10,0,31,49,43,23,25,56,31,28,23,45,13,39,27,37
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Gallicola",4,2,2,5,0,2,7,3,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia",64,59,64,75,57,47,62,68,38,53,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus",8,9,11,4,1,5,8,5,8,8,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas",7,0,0,1,0,0,0,0,0,0,0,0,278,273,250,300,239,262,197,202,219,268,190,234,132,176
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__Candidatus_Xiphinematobacter",0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",119,80,87,82,88,86,108,103,89,85,60,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Nakamurellaceae;g__Nakamurella",1,1,4,0,0,0,1,1,5,0,5,0,59,22,27,23,31,30,20,35,31,51,21,18,13,27
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352",12,3,0,10,9,5,14,4,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga",1,0,1,0,0,0,0,2,3,1,3,5,75,71,79,70,64,129,60,73,82,60,37,49,44,58
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus",59,56,40,41,30,24,43,15,36,41,43,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__;__",0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x",4,3,8,7,11,5,13,11,24,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001",0,0,3,0,7,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Alkanindiges",20,20,35,37,10,24,30,10,9,18,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Salinicoccus",3,0,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas",13,9,22,10,10,6,1,13,1,8,11,5,29,23,24,19,27,35,12,47,23,17,14,24,11,5
"d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter",8,10,10,14,3,13,9,11,11,19,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus",880,999,1020,917,683,674,831,832,877,788,826,760,15,12,47,13,49,15,16,16,26,20,31,21,21,11
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus",16359,16316,15984,16027,13190,13000,12384,12226,12641,12578,12289,12769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium",35,27,35,52,15,20,41,28,34,26,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter",0,0,11,1,0,4,4,1,0,0,0,0,209,183,218,200,221,195,214,160,194,193,189,192,194,234
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__",0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella",0,0,0,4,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;__",0,0,0,2,0,0,2,0,0,0,6,0,219,301,312,272,256,254,260,259,294,288,277,288,285,235
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea",3,2,2,0,0,0,2,0,2,2,0,0,20,28,28,24,48,24,20,21,23,10,16,30,48,19
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria",69,73,49,52,45,36,54,53,83,54,68,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga",9,10,5,8,15,3,14,15,10,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas",0,4,0,0,0,5,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus",3,5,11,5,0,0,4,0,4,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella",1,4,5,9,7,0,4,7,0,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium",4886,4884,4950,4750,4195,4201,4193,4253,4306,4048,4033,4087,31,28,44,38,46,24,38,48,50,42,40,27,37,21
